amfi_code,Annual_Return,Downside_Std,Sortino_Ratio,scheme_name,Sortino_Rank
148567,0.27056620166916845,0.07876552677861624,2.6098498934304954,Mirae Asset Large Cap Fund - Regular - Growth,1.0
120843,0.2726022383393478,0.08425802966181364,2.463886696289964,Kotak Flexicap Fund - Regular - Growth,2.0
148569,0.28326161538880446,0.09580838473672039,2.2781055748782655,Mirae Asset Tax Saver Fund - Regular - Growth,3.0
119551,0.2310331546138718,0.07401207550468832,2.2433252071596668,SBI Bluechip Fund - Regular Plan - Growth,4.0
120505,0.2926527249840709,0.10547368942098004,2.158384012485183,ICICI Pru Midcap Fund - Regular - Growth,5.0
149323,0.26590814851467,0.09986054867274946,2.0118870883942477,DSP Midcap Fund - Regular - Growth,6.0
100033,0.27211056847152365,0.10527569384429818,1.9673161098119984,HDFC Mid-Cap Opportunities Fund - Regular - Growth,7.0
118632,0.21803695132499992,0.07800103509336277,1.9619861600788175,Nippon India Large Cap Fund - Regular - Growth,8.0
101206,0.2146466240023027,0.07919589144532187,1.8895755988253653,ABSL Frontline Equity Fund - Regular - Growth,9.0
120504,0.21244769573283434,0.07853777396787487,1.8774111906093292,ICICI Pru Bluechip Fund - Direct - Growth,10.0
119094,0.25872785977673984,0.10632968588076959,1.821954595012838,Axis Midcap Fund - Regular - Growth,11.0
119598,0.30265596572351255,0.1374545393383379,1.728978663545869,SBI Small Cap Fund - Regular Plan - Growth,12.0
119552,0.197881133444817,0.07704015555614338,1.7248295059318675,SBI Bluechip Fund - Direct Plan - Growth,13.0
149324,0.300931229977172,0.1375131396242098,1.7156995369454515,DSP Small Cap Fund - Regular - Growth,14.0
148568,0.20791821293359272,0.08446614679226662,1.6920176705240417,Mirae Asset Emerging Bluechip Fund - Regular - Growth,15.0
120507,0.0674484404275901,0.0014876945587250507,1.6457951084316687,ICICI Pru Liquid Fund - Regular - Growth,16.0
102885,0.16988800557692826,0.07028184969688984,1.4923910800482223,UTI Nifty 50 Index Fund - Regular - Growth,17.0
120503,0.1757940429247065,0.07738907038245017,1.4316497455929087,ICICI Pru Bluechip Fund - Regular - Growth,18.0
125497,0.17879963802436752,0.08113805051578207,1.4025434096698253,HDFC Top 100 Fund - Direct Plan - Growth,19.0
118635,0.15131944040863557,0.07199892531258785,1.1988990118098888,Nippon India ETF Nifty 50 BeES,20.0
118633,0.15531106361835714,0.07563962548901333,1.1939649758244089,Nippon India Large Cap Fund - Direct - Growth,21.0
120506,0.16382758819055004,0.08519816149049064,1.1599732489718177,ICICI Pru Value Discovery Fund - Regular - Growth,22.0
102887,0.1626258549662886,0.08634029007732784,1.1307102961879467,UTI Flexi Cap Fund - Regular - Growth,23.0
120841,0.1315478451977995,0.07493369095057631,0.8880897811598814,Kotak Bluechip Fund - Regular - Growth,24.0
149322,0.13160728496649923,0.08186189383554592,0.8136543371487106,DSP Top 100 Equity Fund - Regular - Growth,25.0
118634,0.1781915642892773,0.14422408960834388,0.784831192879506,Nippon India Small Cap Fund - Regular - Growth,26.0
125498,0.12016959264353062,0.10483786744248208,0.5262372651160487,HDFC Mid-Cap Opportunities Fund - Direct - Growth,27.0
101207,0.1069621227736075,0.14693832262572012,0.2855764379486828,ABSL Small Cap Fund - Regular - Growth,28.0
119093,0.08312437838149542,0.07959992006309291,0.2276934244045669,Axis Bluechip Fund - Direct - Growth,29.0
120842,0.07859995621336482,0.1043061641424431,0.1303849712543583,Kotak Emerging Equity Fund - Regular - Growth,30.0
119092,0.06929469030104402,0.07918909363869729,0.054233355929525745,Axis Bluechip Fund - Regular - Growth,31.0
119599,0.0507318653023297,0.14548960090436183,-0.0980697906171969,SBI Small Cap Fund - Direct Plan - Growth,32.0
119095,0.04595602382589967,0.14430803607472,-0.131967537582174,Axis Small Cap Fund - Regular - Growth,33.0
120844,0.06454444499823224,0.0016253510917939103,-0.2802809830243901,Kotak Liquid Fund - Regular - Growth,34.0
102886,0.027673310029606265,0.1054854190571198,-0.35385639365172855,UTI Mid Cap Fund - Regular - Growth,35.0
100016,0.03568302536201135,0.08195911484262319,-0.35770243119734413,HDFC Top 100 Fund - Regular Plan - Growth,36.0
119120,0.056011613099590955,0.02202065300855784,-0.40817985265540985,SBI Magnum Gilt Fund - Regular Plan - Growth,37.0
118636,0.050786394904641624,0.021990627141130765,-0.6463483285009901,Nippon India Gilt Securities Fund - Regular - Growth,38.0
100025,0.04285355596222693,0.02193491559058216,-1.0096434584540517,HDFC Short Term Debt Fund - Regular - Growth,39.0
101208,0.06086966398608307,0.001688456509997127,-2.44621995856083,ABSL Liquid Fund - Regular - Growth,40.0
